file 	 comput time 	 limit time 	 gap
data/instance_n5.txt	0.05800008773803711	30	0.0
data/n_10-euclidean_false	0.21000003814697266	30	0.0
data/n_10-euclidean_true	0.1679999828338623	30	0.0
data/n_100-euclidean_false	30.26200008392334	30	517.522662158294
data/n_100-euclidean_true	30.680999994277954	30	100.88402951236688
data/n_11-euclidean_false	0.4010000228881836	30	0.0
data/n_11-euclidean_true	1.1679999828338623	30	0.0
data/n_12-euclidean_false	0.30900001525878906	30	0.0
data/n_12-euclidean_true	30.036999940872192	30	18.563783459010782
data/n_13-euclidean_false	0.6869997978210449	30	0.0
data/n_13-euclidean_true	3.866000175476074	30	0.0
data/n_14-euclidean_false	8.871000051498413	30	0.002447253096415244
data/n_14-euclidean_true	30.04800009727478	30	40.870499265280614
data/n_15-euclidean_false	0.4509999752044678	30	0.0
data/n_15-euclidean_true	30.0479998588562	30	16.326535378600084
data/n_16-euclidean_false	30.038000106811523	30	26.598833906617124
data/n_16-euclidean_true	30.05900001525879	30	4.2018819755172485
data/n_17-euclidean_false	0.6990001201629639	30	0.0
data/n_17-euclidean_true	30.037999868392944	30	76.28629845662378
data/n_18-euclidean_false	30.055000066757202	30	99.65702478951107
data/n_18-euclidean_true	30.04699993133545	30	31.59951370877721
data/n_19-euclidean_false	30.021999835968018	30	26.770368023573667
data/n_19-euclidean_true	30.05400013923645	30	47.47407419849932
data/n_20-euclidean_false	30.914000034332275	30	17.336295747701985
data/n_20-euclidean_true	30.04200005531311	30	62.497145171114475
data/n_25-euclidean_false	30.05999994277954	30	123.44121554818221
data/n_25-euclidean_true	30.049999952316284	30	78.93116218486222
data/n_30-euclidean_false	30.094000101089478	30	188.11354824331298
data/n_30-euclidean_true	30.085999965667725	30	126.9067652558882
data/n_35-euclidean_false	30.074000120162964	30	205.4052133127684
data/n_35-euclidean_true	30.085000038146973	30	173.05069180753492
data/n_40-euclidean_false	30.17199993133545	30	377.5389850629473
data/n_40-euclidean_true	30.123000144958496	30	76.94359792599369
data/n_45-euclidean_false	30.167999982833862	30	128.69237423933245
data/n_45-euclidean_true	30.174999952316284	30	153.36122229358628
data/n_5-euclidean_false	0.059999942779541016	30	0.0
data/n_5-euclidean_true	0.07700014114379883	30	0.0
data/n_50-euclidean_false	30.200999975204468	30	149.94363501640575
data/n_50-euclidean_true	30.187999963760376	30	88.34548490637994
data/n_55-euclidean_false	30.20900011062622	30	196.68862539450566
data/n_55-euclidean_true	30.227999925613403	30	96.6626310235804
data/n_6-euclidean_false	0.0989999771118164	30	0.0
data/n_6-euclidean_true	0.056999921798706055	30	0.0
data/n_60-euclidean_false	30.22099995613098	30	262.342318770414
data/n_60-euclidean_true	30.197999954223633	30	180.32588383399394
data/n_65-euclidean_false	30.73800015449524	30	199.5045701790217
data/n_65-euclidean_true	30.32100009918213	30	190.24111402428625
data/n_7-euclidean_false	0.04199981689453125	30	0.0
data/n_7-euclidean_true	0.19700002670288086	30	0.0
data/n_70-euclidean_false	30.360999822616577	30	514.3541573286709
data/n_70-euclidean_true	30.363999843597412	30	97.99744547952639
data/n_75-euclidean_false	30.33400011062622	30	242.5267559926143
data/n_75-euclidean_true	30.22599983215332	30	133.2712356699369
data/n_8-euclidean_false	0.08899998664855957	30	0.0
data/n_8-euclidean_true	0.08300018310546875	30	0.0
data/n_80-euclidean_false	30.517000198364258	30	120.73450305274956
data/n_80-euclidean_true	30.250999927520752	30	112.43244164737021
data/n_85-euclidean_false	30.29100012779236	30	727.8068911529451
data/n_85-euclidean_true	30.569000005722046	30	100.22773845782538
data/n_9-euclidean_false	0.3470001220703125	30	0.0
data/n_9-euclidean_true	0.11299991607666016	30	0.0
data/n_90-euclidean_false	30.265000104904175	30	492.9183235520572
data/n_90-euclidean_true	30.58899998664856	30	334.9045175550337
data/n_95-euclidean_false	30.35199999809265	30	582.6009877295423
data/n_95-euclidean_true	30.509000062942505	30	288.88821756523066
