file 	 comput time 	 limit time 	 gap
data/instance_n5.txt	0.4240000247955322	1	0.0
data/n_10-euclidean_false	0.503000020980835	1	7.935871743486973
data/n_10-euclidean_true	0.7250001430511475	1	4.013696024348488
data/n_100-euclidean_false	1.2170000076293945	1	-99.98693834900732
data/n_100-euclidean_true	1.563999891281128	1	-99.99736057222795
data/n_11-euclidean_false	0.5510001182556152	1	7.358131957643225
data/n_11-euclidean_true	0.6180000305175781	1	14.78624236579878
data/n_12-euclidean_false	0.559999942779541	1	10.118675827607746
data/n_12-euclidean_true	1.0180001258850098	1	-99.98243456876867
data/n_13-euclidean_false	0.5470001697540283	1	10.424862313139261
data/n_13-euclidean_true	1.0260000228881836	1	-99.97995188452286
data/n_14-euclidean_false	1.0109999179840088	1	-99.97440491425647
data/n_14-euclidean_true	1.0149998664855957	1	-99.98483929654336
data/n_15-euclidean_false	0.6559998989105225	1	12.512363996043522
data/n_15-euclidean_true	1.0260000228881836	1	-99.98331664998331
data/n_16-euclidean_false	1.0139999389648438	1	-99.76190476190476
data/n_16-euclidean_true	1.0199999809265137	1	-99.98827117053717
data/n_17-euclidean_false	1.0239999294281006	1	85.33724340175954
data/n_17-euclidean_true	1.0209999084472656	1	-99.98460117031107
data/n_18-euclidean_false	1.0230000019073486	1	-99.7566909975669
data/n_18-euclidean_true	1.0389997959136963	1	-99.98809665516009
data/n_19-euclidean_false	1.0230000019073486	1	-99.66996699669967
data/n_19-euclidean_true	1.0259997844696045	1	-99.98517640083013
data/n_20-euclidean_false	1.0249998569488525	1	-99.56709956709958
data/n_20-euclidean_true	1.0360000133514404	1	-99.98828216545583
data/n_25-euclidean_false	1.0210001468658447	1	-99.81447124304268
data/n_25-euclidean_true	1.0329999923706055	1	-99.98866598662588
data/n_30-euclidean_false	1.0429999828338623	1	-99.81818181818181
data/n_30-euclidean_true	1.1400001049041748	1	-99.99218383617321
data/n_35-euclidean_false	1.0269999504089355	1	-99.69788519637463
data/n_35-euclidean_true	1.0409998893737793	1	-99.99317871759891
data/n_40-euclidean_false	1.0600001811981201	1	-99.90049751243781
data/n_40-euclidean_true	1.0390000343322754	1	-99.99030819926342
data/n_45-euclidean_false	1.0420000553131104	1	-99.78213507625271
data/n_45-euclidean_true	1.1019999980926514	1	-99.9936073643163
data/n_5-euclidean_false	0.07200002670288086	1	0.0
data/n_5-euclidean_true	0.3489999771118164	1	0.0
data/n_50-euclidean_false	1.0820000171661377	1	-99.6845425867508
data/n_50-euclidean_true	1.064000129699707	1	-99.992034411343
data/n_55-euclidean_false	1.133000135421753	1	-99.97634255973503
data/n_55-euclidean_true	1.062999963760376	1	-99.99245909056633
data/n_6-euclidean_false	0.0820000171661377	1	0.0
data/n_6-euclidean_true	0.4200000762939453	1	0.0
data/n_60-euclidean_false	1.1140000820159912	1	-99.97685720897941
data/n_60-euclidean_true	1.0910000801086426	1	-99.99770273374683
data/n_65-euclidean_false	1.1040000915527344	1	-99.97863247863248
data/n_65-euclidean_true	1.0939998626708984	1	-99.9976570370891
data/n_7-euclidean_false	0.0820000171661377	1	0.0
data/n_7-euclidean_true	0.5729999542236328	1	1.6170763260025873
data/n_70-euclidean_false	1.1749999523162842	1	-99.9689537410742
data/n_70-euclidean_true	1.1059999465942383	1	-99.99817364941374
data/n_75-euclidean_false	1.1610000133514404	1	-99.75728155339806
data/n_75-euclidean_true	1.1180000305175781	1	-99.9982438270521
data/n_8-euclidean_false	0.2889997959136963	1	0.0
data/n_8-euclidean_true	0.5840001106262207	1	3.076092822450081
data/n_80-euclidean_false	1.182999849319458	1	-99.71264367816092
data/n_80-euclidean_true	1.1540000438690186	1	-99.99829560949006
data/n_85-euclidean_false	1.113999843597412	1	-99.98543547917274
data/n_85-euclidean_true	1.129000186920166	1	-99.99862084183813
data/n_9-euclidean_false	0.4479999542236328	1	0.0
data/n_9-euclidean_true	0.5550000667572021	1	10.877561744613768
data/n_90-euclidean_false	1.1790001392364502	1	-99.98466727997547
data/n_90-euclidean_true	1.1710000038146973	1	-99.99859670787667
data/n_95-euclidean_false	1.436000108718872	1	-99.98618593728416
data/n_95-euclidean_true	1.178999900817871	1	-99.99836684032599
