file 	 comput time 	 limit time 	 val 	 gap 	 time slave/total time(%)
data/instance_n5.txt	1.7160000801086426	600	2786.0	-100.0	61.13053472171857
data/n_10-euclidean_false	0.016000032424926758	600	3115.0	-100.0	0.0
data/n_10-euclidean_true	0.012000083923339844	600	5423.0	-100.0	0.0
data/n_100-euclidean_false	36.83999967575073	600	3451.0	-100.0	9.264286767634049
data/n_100-euclidean_true	629.6779999732971	600	0	NaN	0.2819344801477299
data/n_11-euclidean_false	1.25	600	3899.0	-0.02564102564102564	0.48000335693359375
data/n_11-euclidean_true	0.0	600	7301.0	-100.0	NaN
data/n_12-euclidean_false	0.002000093460083008	600	5077.0	-100.0	0.0
data/n_12-euclidean_true	0.010999917984008789	600	6406.0	-100.0	0.0
data/n_13-euclidean_false	2.5410001277923584	600	2682.0	0.0	0.0
data/n_13-euclidean_true	0.005000114440917969	600	5971.0	-100.0	19.998092695021935
data/n_14-euclidean_false	0.01900005340576172	600	5854.0	-100.0	0.0
data/n_14-euclidean_true	600.0090000629425	600	7669.0	34.73295853829937	0.0028332841580535244
data/n_15-euclidean_false	0.04799985885620117	600	3604.0	-100.0	0.0
data/n_15-euclidean_true	207.55100011825562	600	6140.0	0.0	0.15804402604808765
data/n_16-euclidean_false	600.010999917984	600	871.0	63.10861423220974	0.005666589164962647
data/n_16-euclidean_true	353.2890000343323	600	9144.0	0.0	0.01783241588451769
data/n_17-euclidean_false	0.034999847412109375	600	799.0	-100.0	0.0
data/n_17-euclidean_true	600.0280001163483	600	6712.0	60.88207094918504	0.0
data/n_18-euclidean_false	0.023999929428100586	600	1507.0	-100.0	8.333747255694744
data/n_18-euclidean_true	600.0279998779297	600	10184.0	27.523165539694467	0.011499424579770308
data/n_19-euclidean_false	600.0149998664856	600	1329.0	126.0204081632653	0.034499812601663266
data/n_19-euclidean_true	600.0069999694824	600	7013.0	29.03403863845446	0.0
data/n_20-euclidean_false	600.0079998970032	600	803.0	101.75879396984924	0.006167994595042154
data/n_20-euclidean_true	599.9959998130798	600	9326.0	66.74414446629716	0.00016665597562357616
data/n_25-euclidean_false	599.9990000724792	600	2215.0	268.55241264559066	0.028668438709326817
data/n_25-euclidean_true	0.08299994468688965	600	9518.0	-100.0	0.0
data/n_30-euclidean_false	600.4670000076294	600	2037.0	342.82608695652175	0.03331761067253997
data/n_30-euclidean_true	600.1170001029968	600	15716.0	156.4202969489313	0.04365892784409373
data/n_35-euclidean_false	6.260999917984009	600	1981.0	-100.0	31.96724675350055
data/n_35-euclidean_true	600.039999961853	600	15245.0	180.13597941933114	0.0
data/n_40-euclidean_false	600.0559997558594	600	3254.0	626.3392857142857	0.1733936860716928
data/n_40-euclidean_true	600.2219998836517	600	10724.0	84.16623733470719	0.0
data/n_45-euclidean_false	3.7920000553131104	600	1527.0	-100.0	0.0
data/n_45-euclidean_true	0.46700000762939453	600	15132.0	-100.0	0.5377233089915797
data/n_5-euclidean_false	0.04500007629394531	600	1864.0	-100.0	0.0
data/n_5-euclidean_true	0.029999971389770508	600	3283.0	-100.0	0.0
data/n_50-euclidean_false	600.2630000114441	600	1175.0	251.7964071856287	0.05263012718447429
data/n_50-euclidean_true	600.5260000228882	600	12000.0	101.71457387796268	0.01422544011950677
data/n_55-euclidean_false	76.7649998664856	600	2472.0	-100.0	0.0
data/n_55-euclidean_true	600.143000125885	600	13079.0	102.17962590817746	0.008535516170499653
data/n_6-euclidean_false	0.09999990463256836	600	3307.0	0.0	16.999976158119352
data/n_6-euclidean_true	0.0410001277923584	600	3087.0	-100.0	41.46318770461775
data/n_60-euclidean_false	9.84500002861023	600	1933.0	-100.0	0.0
data/n_60-euclidean_true	600.0709998607635	600	17755.0	185.35840565734492	0.6123694912070197
data/n_65-euclidean_false	600.0429999828339	600	2899.0	383.97328881469116	0.041701975298370636
data/n_65-euclidean_true	600.0210001468658	600	20063.0	176.42601267566823	0.015502419860806025
data/n_7-euclidean_false	0.005000114440917969	600	2143.0	-100.0	0.0
data/n_7-euclidean_true	0.07499980926513672	600	3132.0	0.0	0.0
data/n_70-euclidean_false	600.0569999217987	600	3414.0	886.7052023121387	0.05738431919225232
data/n_70-euclidean_true	600.1119999885559	600	14720.0	112.74750686515394	0.02094194758228818
data/n_75-euclidean_false	600.0659997463226	600	3702.0	825.5000000000001	0.08340797372616927
data/n_75-euclidean_true	600.3540000915527	600	15369.0	110.82304526748972	0.0028571667540148627
data/n_8-euclidean_false	0.0070002079010009766	600	4558.0	-100.0	0.0
data/n_8-euclidean_true	0.010999917984008789	600	3820.0	-100.0	0.0
data/n_80-euclidean_false	1112.643000125885	600	1344.0	740.0	0.5746937440709373
data/n_80-euclidean_true	600.050999879837	600	18057.0	130.81937875495336	0.019545123945574817
data/n_85-euclidean_false	4.625999927520752	600	2917.0	-100.0	15.065505252236996
data/n_85-euclidean_true	1063.875	600	13197.0	-100.0	3.0974361571156845
data/n_9-euclidean_false	0.005000114440917969	600	3125.0	-100.0	0.0
data/n_9-euclidean_true	0.006000041961669922	600	4216.0	-100.0	0.0
data/n_90-euclidean_false	600.050999879837	600	3420.0	732.1167883211679	0.017453198548731057
data/n_90-euclidean_true	600.069000005722	600	38713.0	370.9610705596107	0.04156660382659795
data/n_95-euclidean_false	600.1329998970032	600	5105.0	1246.9656992084433	0.0815121304930537
data/n_95-euclidean_true	600.2360000610352	600	28951.0	262.1138211382114	0.00933482595112868
