file 	 comput time 	 limit time 	 val 	 gap
data/instance_n5.txt	0.4230000972747803	1	2786.0	0.0
data/n_10-euclidean_false	0.08000016212463379	1	2684.0	0.0
data/n_10-euclidean_true	0.14699983596801758	1	5423.0	0.0
data/n_100-euclidean_false	5.194000005722046	1	4854.0	579.8319327731092
data/n_100-euclidean_true	5.177000045776367	1	15911.0	111.10521427623723
data/n_11-euclidean_false	0.21000003814697266	1	3899.0	0.0
data/n_11-euclidean_true	0.7669999599456787	1	7142.0	0.0
data/n_12-euclidean_false	0.252000093460083	1	3389.0	0.0
data/n_12-euclidean_true	5.020999908447266	1	6364.0	37.45140388768898
data/n_13-euclidean_false	0.5550000667572021	1	2682.0	0.0
data/n_13-euclidean_true	3.00600004196167	1	5971.0	0.0
data/n_14-euclidean_false	5.016000032424927	1	5090.0	15.866150694286366
data/n_14-euclidean_true	5.013999938964844	1	7713.0	53.61481776538538
data/n_15-euclidean_false	0.16100001335144043	1	2126.0	0.0
data/n_15-euclidean_true	5.005999803543091	1	6140.0	23.293172690763054
data/n_16-euclidean_false	5.005999803543091	1	885.0	41.373801916932905
data/n_16-euclidean_true	5.016000032424927	1	9144.0	9.27342256214149
data/n_17-euclidean_false	0.30699992179870605	1	619.0	0.0
data/n_17-euclidean_true	5.0320000648498535	1	6716.0	85.11576626240353
data/n_18-euclidean_false	5.033999919891357	1	1350.0	147.25274725274727
data/n_18-euclidean_true	5.03600001335144	1	10154.0	48.0390727511299
data/n_19-euclidean_false	5.018999814987183	1	1230.0	57.89473684210527
data/n_19-euclidean_true	5.015999794006348	1	7073.0	57.28263286635534
data/n_20-euclidean_false	5.033999919891357	1	728.0	48.57142857142857
data/n_20-euclidean_true	5.1540000438690186	1	9498.0	77.83186669163078
data/n_25-euclidean_false	5.013000011444092	1	2203.0	177.455919395466
data/n_25-euclidean_true	5.021000146865845	1	9901.0	90.14787785673131
data/n_30-euclidean_false	5.131999969482422	1	2120.0	215.0074294205052
data/n_30-euclidean_true	5.046000003814697	1	15682.0	143.0940939389242
data/n_35-euclidean_false	5.040999889373779	1	2257.0	242.4886191198786
data/n_35-euclidean_true	5.0400002002716064	1	14891.0	201.9874264854999
data/n_40-euclidean_false	5.067999839782715	1	3594.0	406.19718309859155
data/n_40-euclidean_true	5.049999952316284	1	11278.0	81.2600450016072
data/n_45-euclidean_false	5.065999984741211	1	1669.0	190.2608695652174
data/n_45-euclidean_true	5.062000036239624	1	16106.0	160.6148867313916
data/n_5-euclidean_false	0.018000125885009766	1	1767.0	0.0
data/n_5-euclidean_true	0.021000146865844727	1	3283.0	0.0
data/n_50-euclidean_false	5.0929999351501465	1	1306.0	190.22222222222223
data/n_50-euclidean_true	5.063000202178955	1	11447.0	91.45342030439872
data/n_55-euclidean_false	5.104000091552734	1	2705.0	219.73995271867614
data/n_55-euclidean_true	5.118000030517578	1	14143.0	113.80196523053665
data/n_6-euclidean_false	0.03099989891052246	1	3307.0	0.0
data/n_6-euclidean_true	0.019999980926513672	1	3087.0	0.0
data/n_60-euclidean_false	5.20799994468689	1	2438.0	322.53032928942804
data/n_60-euclidean_true	5.358999967575073	1	18476.0	198.91603300436822
data/n_65-euclidean_false	5.164999961853027	1	2992.0	264.4336175395859
data/n_65-euclidean_true	5.24399995803833	1	20602.0	198.88292470622372
data/n_7-euclidean_false	0.07699990272521973	1	2066.0	0.0
data/n_7-euclidean_true	0.6349999904632568	1	3132.0	0.0
data/n_70-euclidean_false	5.174999952316284	1	4121.0	587.9799666110183
data/n_70-euclidean_true	5.513999938964844	1	28155.0	269.24590163934425
data/n_75-euclidean_false	5.2250001430511475	1	3253.0	309.69773299748107
data/n_75-euclidean_true	5.1600000858306885	1	17865.0	141.68019480519482
data/n_8-euclidean_false	0.04999995231628418	1	3270.0	0.0
data/n_8-euclidean_true	0.1660001277923584	1	3776.0	0.0
data/n_80-euclidean_false	5.562999963760376	1	1135.0	229.94186046511626
data/n_80-euclidean_true	5.174000024795532	1	18948.0	124.15710398675026
data/n_85-euclidean_false	5.2779998779296875	1	3925.0	772.2222222222223
data/n_85-euclidean_true	5.433000087738037	1	31742.0	250.6241025074561
data/n_9-euclidean_false	0.2200000286102295	1	3113.0	0.0
data/n_9-euclidean_true	0.09100008010864258	1	4181.0	0.0
data/n_90-euclidean_false	5.401000022888184	1	5115.0	597.8171896316508
data/n_90-euclidean_true	5.325000047683716	1	63470.0	628.3681432178105
data/n_95-euclidean_false	5.289000034332275	1	17155.0	2243.5792349726776
data/n_95-euclidean_true	5.5970001220703125	1	38712.0	394.2167751819226
