file 	 comput time 	 limit time 	 val 	 gap 	 time slave/total time(%)
data/instance_n5.txt	0.0	600	2786.0	-100.0	NaN
data/n_10-euclidean_false	0.003000020980834961	600	3115.0	-100.0	33.33863148692681
data/n_10-euclidean_true	0.0	600	5423.0	-100.0	NaN
data/n_100-euclidean_false	36.56100010871887	600	3451.0	-100.0	0.0
data/n_100-euclidean_true	659.0840001106262	600	0	NaN	0.6660520564564243
data/n_11-euclidean_false	0.9049999713897705	600	3899.0	-0.02564102564102564	0.0
data/n_11-euclidean_true	0.005000114440917969	600	7301.0	-100.0	0.0
data/n_12-euclidean_false	0.004999876022338867	600	5077.0	-100.0	0.0
data/n_12-euclidean_true	0.013000011444091797	600	6406.0	-100.0	15.383486776950445
data/n_13-euclidean_false	2.434000015258789	600	2682.0	0.0	0.0
data/n_13-euclidean_true	0.0	600	5971.0	-100.0	NaN
data/n_14-euclidean_false	0.013000011444091797	600	5854.0	-100.0	0.0
data/n_14-euclidean_true	600.0329999923706	600	7669.0	35.27959075674722	0.0016666131499372683
data/n_15-euclidean_false	0.05799984931945801	600	3604.0	-100.0	12.499254932347856
data/n_15-euclidean_true	202.01600003242493	600	6140.0	0.0	0.0
data/n_16-euclidean_false	599.9990000724792	600	871.0	62.5	0.007666769524727119
data/n_16-euclidean_true	336.88699984550476	600	9144.0	0.0	0.009201868556738286
data/n_17-euclidean_false	270.3529999256134	600	619.0	0.0	0.0003698599686436175
data/n_17-euclidean_true	0.017999887466430664	600	6712.0	-100.0	0.0
data/n_18-euclidean_false	0.014000177383422852	600	1507.0	-100.0	0.0
data/n_18-euclidean_true	600.0190000534058	600	10184.0	27.172827172827173	0.01833281478139736
data/n_19-euclidean_false	600.0220000743866	600	1329.0	124.8730964467005	0.049664822093066115
data/n_19-euclidean_true	600.0420000553131	600	7013.0	27.741347905282332	0.00016668265542059678
data/n_20-euclidean_false	600.0119998455048	600	803.0	100.24937655860349	0.005167792017327998
data/n_20-euclidean_true	600.0209999084473	600	9326.0	66.12041325258284	0.0028332274950831067
data/n_25-euclidean_false	600.0310001373291	600	2215.0	267.3300165837479	0.05549929051451158
data/n_25-euclidean_true	0.08800005912780762	600	9518.0	-100.0	4.8776800200038375
data/n_30-euclidean_false	0.2500002384185791	600	2037.0	-100.0	51.612779179228454
data/n_30-euclidean_true	600.037999868393	600	15716.0	155.33712428919577	0.015332363558570126
data/n_35-euclidean_false	600.0309998989105	600	1981.0	300.2020202020202	0.04628011355694132
data/n_35-euclidean_true	600.0360000133514	600	15245.0	177.83852742846727	0.002499890251821923
data/n_40-euclidean_false	600.0140001773834	600	3254.0	621.5077605321508	0.02316750708978354
data/n_40-euclidean_true	3.6540000438690186	600	10724.0	-100.0	0.0
data/n_45-euclidean_false	3.117000102996826	600	1527.0	-100.0	0.0
data/n_45-euclidean_true	0.25999975204467773	600	15132.0	-100.0	0.0
data/n_5-euclidean_false	0.02500009536743164	600	1864.0	-100.0	0.0
data/n_5-euclidean_true	0.0	600	3283.0	-100.0	NaN
data/n_50-euclidean_false	600.0169999599457	600	1175.0	242.56559766763849	0.023111609841164883
data/n_50-euclidean_true	600.045000076294	600	11658.0	95.4728370221328	0.01572140754445285
data/n_55-euclidean_false	600.4069998264313	600	2472.0	286.25	0.017795679093494266
data/n_55-euclidean_true	600.0309998989105	600	13079.0	101.74302020669444	0.01556273294100636
data/n_6-euclidean_false	0.026999950408935547	600	3307.0	0.0	0.0
data/n_6-euclidean_true	0.023000001907348633	600	3087.0	-100.0	0.0
data/n_60-euclidean_false	9.13700008392334	600	1933.0	-100.0	0.0
data/n_60-euclidean_true	600.0129997730255	600	17462.0	177.88033099936348	0.07351592592150687
data/n_65-euclidean_false	600.0420000553131	600	2899.0	346.0	0.03783242390387575
data/n_65-euclidean_true	600.0130002498627	600	19978.0	172.25402016898337	0.013168575471982967
data/n_7-euclidean_false	0.01900005340576172	600	2143.0	-100.0	0.0
data/n_7-euclidean_true	0.07899999618530273	600	3132.0	0.0	0.0
data/n_70-euclidean_false	600.047000169754	600	3414.0	878.2234957020057	0.05270649725047722
data/n_70-euclidean_true	600.0530002117157	600	14720.0	112.3178998990336	0.013199484185755863
data/n_75-euclidean_false	600.037999868393	600	3702.0	814.0740740740741	0.07151121630943097
data/n_75-euclidean_true	600.0409996509552	600	15369.0	110.82304526748972	0.002516384575785345
data/n_8-euclidean_false	0.0	600	4558.0	-100.0	NaN
data/n_8-euclidean_true	0.002000093460083008	600	3820.0	-100.0	0.0
data/n_80-euclidean_false	902.4749999046326	600	1344.0	740.0	4.584536812104287
data/n_80-euclidean_true	600.069000005722	600	18057.0	130.52470317885866	0.02164916633930429
data/n_85-euclidean_false	3.053999662399292	600	2917.0	-100.0	9.302348146710655
data/n_85-euclidean_true	838.0700001716614	600	13197.0	-100.0	8.7209826162532
data/n_9-euclidean_false	0.12400007247924805	600	3113.0	-0.03211303789338471	0.0
data/n_9-euclidean_true	0.0	600	4216.0	-100.0	NaN
data/n_90-euclidean_false	45.9760000705719	600	3420.0	-100.0	7.978780742369652
data/n_90-euclidean_true	600.0699999332428	600	38733.0	371.0324699014958	0.025672685702345408
data/n_95-euclidean_false	600.074000120163	600	5105.0	1219.1214470284237	0.0806196770539721
data/n_95-euclidean_true	600.1050002574921	600	28945.0	261.902975743936	0.0031674621536892295
