file 	 comput time 	 limit time 	 val 	 gap 	 time slave/total time(%)
data/instance_n5.txt	0.01900005340576172	600	2786.0	0.0	0.0
data/n_10-euclidean_false	0.20799994468688965	600	2684.0	0.0	0.0
data/n_10-euclidean_true	0.4249999523162842	600	5423.0	0.0	0.0
data/n_100-euclidean_false	600.0499999523163	600	4538.0	1422.8187919463087	0.02033159580206329
data/n_100-euclidean_true	600.0360000133514	600	15205.0	100.0657894736842	0.05766315982786091
data/n_11-euclidean_false	1.0260000228881836	600	3899.0	0.0	0.0
data/n_11-euclidean_true	3.430000066757202	600	7142.0	0.0	0.0
data/n_12-euclidean_false	0.45399999618530273	600	3389.0	0.0	0.22024835443915444
data/n_12-euclidean_true	124.66299986839294	600	6364.0	0.0	0.0024065047239374077
data/n_13-euclidean_false	1.7290000915527344	600	2682.0	0.0	0.0
data/n_13-euclidean_true	15.960000038146973	600	5971.0	0.0	0.018798617745883203
data/n_14-euclidean_false	47.82599997520447	600	5090.0	0.0	0.0
data/n_14-euclidean_true	600.0020000934601	600	7669.0	33.258036490008685	0.0
data/n_15-euclidean_false	0.5109999179840088	600	2126.0	0.0	0.0
data/n_15-euclidean_true	276.1670000553131	600	6140.0	0.0	0.0
data/n_16-euclidean_false	600.0160000324249	600	860.0	58.3793738489871	0.008666482925811342
data/n_16-euclidean_true	245.9559998512268	600	9144.0	0.0	0.00040654731795800324
data/n_17-euclidean_false	286.61299991607666	600	619.0	0.0	0.010467065833913611
data/n_17-euclidean_true	600.0060000419617	600	6712.0	40.83088543852287	0.0026666454041805896
data/n_18-euclidean_false	600.0160000324249	600	1360.0	147.27272727272725	0.031165921086550474
data/n_18-euclidean_true	600.0230000019073	600	10282.0	71.62410282089802	0.005166491505992774
data/n_19-euclidean_false	600.3759999275208	600	1303.0	118.99159663865547	0.02981455354683103
data/n_19-euclidean_true	600.0469999313354	600	7116.0	35.002845759817866	0.0026664234648583435
data/n_20-euclidean_false	600.0629999637604	600	773.0	94.22110552763819	0.007999136567177118
data/n_20-euclidean_true	600.0859999656677	600	9315.0	67.38544474393531	0.010498489177214658
data/n_25-euclidean_false	600.0209999084473	600	2262.0	282.74111675126903	0.03566545589234233
data/n_25-euclidean_true	600.0179998874664	600	9904.0	91.34466769706336	0.0
data/n_30-euclidean_false	600.0249998569489	600	2068.0	357.5221238938053	0.06283077071264401
data/n_30-euclidean_true	600.0139999389648	600	15472.0	147.98845968905275	0.011999684722627435
data/n_35-euclidean_false	600.0579998493195	600	2323.0	374.0816326530612	0.07099319678783839
data/n_35-euclidean_true	600.0230000019073	600	15550.0	189.94965504381875	0.015166058916037253
data/n_40-euclidean_false	600.0230000019073	600	3600.0	691.2087912087912	0.07933018489535384
data/n_40-euclidean_true	600.0240001678467	600	11812.0	100.5432937181664	0.007999735957217058
data/n_45-euclidean_false	600.0550000667572	600	1768.0	261.55419222903885	0.036663270894697154
data/n_45-euclidean_true	600.0359997749329	600	16893.0	182.16134959078002	0.028998303981657262
data/n_5-euclidean_false	0.07899999618530273	600	1767.0	0.0	0.0
data/n_5-euclidean_true	0.03099989891052246	600	3283.0	0.0	3.225583166055236
data/n_50-euclidean_false	600.0599999427795	600	1220.0	263.0952380952381	0.019164751782773277
data/n_50-euclidean_true	600.1099998950958	600	11452.0	92.11541687636301	0.014663988126042016
data/n_55-euclidean_false	600.0999999046326	600	2808.0	338.75	0.06298962444536642
data/n_55-euclidean_true	600.0730001926422	600	13344.0	106.59544821179749	0.00683252333952637
data/n_6-euclidean_false	0.1100001335144043	600	3307.0	0.0	0.9092406594216406
data/n_6-euclidean_true	0.19300007820129395	600	3087.0	0.0	0.5182204839771662
data/n_60-euclidean_false	600.0679998397827	600	2396.0	494.54094292803967	0.026163712261239112
data/n_60-euclidean_true	600.0699999332428	600	17807.0	184.00318979266348	0.012998494954460016
data/n_65-euclidean_false	600.0439999103546	600	2920.0	390.75630252100837	0.02416497086635891
data/n_65-euclidean_true	600.095999956131	600	20338.0	182.55070853014726	0.025162684190163126
data/n_7-euclidean_false	0.002000093460083008	600	2066.0	0.0	0.0
data/n_7-euclidean_true	0.3959999084472656	600	3132.0	0.0	0.0
data/n_70-euclidean_false	600.0750000476837	600	3579.0	913.8810198300284	0.0574928976244591
data/n_70-euclidean_true	600.021999835968	600	13803.0	97.2420691626179	0.0054997573357389775
data/n_75-euclidean_false	600.0339999198914	600	3611.0	523.6614853195164	0.010332793586110217
data/n_75-euclidean_true	600.0639998912811	600	17518.0	137.1142393069843	0.0028330244688497797
data/n_8-euclidean_false	0.07300019264221191	600	3270.0	-0.03057169061449098	0.0
data/n_8-euclidean_true	0.10400009155273438	600	3776.0	0.0	0.0
data/n_80-euclidean_false	600.1280000209808	600	1083.0	387.83783783783787	0.013330516510117331
data/n_80-euclidean_true	600.1050000190735	600	18292.0	133.67399080224834	0.018496693777667255
data/n_85-euclidean_false	600.1240000724792	600	3772.0	1679.245283018868	0.06032086510657599
data/n_85-euclidean_true	600.1119999885559	600	15939.0	98.41902153616333	0.8200135583840952
data/n_9-euclidean_false	0.20099997520446777	600	3113.0	-0.03211303789338471	0.0
data/n_9-euclidean_true	0.2739999294281006	600	4181.0	0.0	0.3650241594655246
data/n_90-euclidean_false	600.1010000705719	600	4454.0	957.9572446555819	0.029328376359369263
data/n_90-euclidean_true	600.1229999065399	600	39292.0	376.72894928415434	0.021162304237844945
data/n_95-euclidean_false	600.1470000743866	600	4787.0	1479.8679867986798	0.046988498620321416
