file 	 comput time 	 limit time 	 gap
data/instance_n5.txt	0.36999988555908203	0.5	0.0
data/n_10-euclidean_false	0.1979999542236328	0.5	0.0
data/n_10-euclidean_true	0.18900012969970703	0.5	0.0
data/n_100-euclidean_false	0.8810000419616699	0.5	Inf
data/n_100-euclidean_true	0.9110000133514404	0.5	Inf
data/n_11-euclidean_false	0.40600013732910156	0.5	0.0
data/n_11-euclidean_true	0.5260000228881836	0.5	16.854564916733626
data/n_12-euclidean_false	0.33700013160705566	0.5	0.0
data/n_12-euclidean_true	0.5199999809265137	0.5	60.60862934970919
data/n_13-euclidean_false	0.5200002193450928	0.5	16.075195289863405
data/n_13-euclidean_true	0.5500001907348633	0.5	33.69442923417831
data/n_14-euclidean_false	0.5239999294281006	0.5	87.55601346513986
data/n_14-euclidean_true	0.5350000858306885	0.5	70.58146154616611
data/n_15-euclidean_false	0.5069999694824219	0.5	0.0
data/n_15-euclidean_true	0.5160000324249268	0.5	40.157093315132734
data/n_16-euclidean_false	0.5270001888275146	0.5	60.85519885805205
data/n_16-euclidean_true	0.5420000553131104	0.5	14.981691792932905
data/n_17-euclidean_false	0.4139997959136963	0.5	0.0
data/n_17-euclidean_true	0.5369999408721924	0.5	110.89781373288257
data/n_18-euclidean_false	0.5349998474121094	0.5	191.01962885828624
data/n_18-euclidean_true	0.5240001678466797	0.5	57.54356889661345
data/n_19-euclidean_false	0.5399999618530273	0.5	171.80352767535274
data/n_19-euclidean_true	0.5420000553131104	0.5	81.51957396642138
data/n_20-euclidean_false	0.5359997749328613	0.5	106.47517346329505
data/n_20-euclidean_true	0.5299999713897705	0.5	86.98613014672631
data/n_25-euclidean_false	0.5350000858306885	0.5	243.01806963553233
data/n_25-euclidean_true	0.5410001277923584	0.5	121.27491395543146
data/n_30-euclidean_false	0.5499999523162842	0.5	359.4935181704966
data/n_30-euclidean_true	0.5320000648498535	0.5	178.53360530997415
data/n_35-euclidean_false	0.5639998912811279	0.5	388.9482605235588
data/n_35-euclidean_true	0.5690000057220459	0.5	250.8471470632925
data/n_40-euclidean_false	0.5959999561309814	0.5	543.0894259678164
data/n_40-euclidean_true	0.5810000896453857	0.5	394.57158674838195
data/n_45-euclidean_false	0.5879998207092285	0.5	303.82257698796724
data/n_45-euclidean_true	0.5710000991821289	0.5	853.0313602073944
data/n_5-euclidean_false	0.014999866485595703	0.5	0.0
data/n_5-euclidean_true	0.01900005340576172	0.5	0.0
data/n_50-euclidean_false	0.6059999465942383	0.5	1413.0290420531487
data/n_50-euclidean_true	0.5980000495910645	0.5	814.1622902839181
data/n_55-euclidean_false	0.622999906539917	0.5	301.4918692343261
data/n_55-euclidean_true	0.6100001335144043	0.5	738.0697371138514
data/n_6-euclidean_false	0.029000043869018555	0.5	0.0
data/n_6-euclidean_true	0.029999971389770508	0.5	0.0
data/n_60-euclidean_false	0.6389999389648438	0.5	Inf
data/n_60-euclidean_true	0.5920000076293945	0.5	914.3120236818884
data/n_65-euclidean_false	0.6140000820159912	0.5	Inf
data/n_65-euclidean_true	0.6090002059936523	0.5	794.7761103196141
data/n_7-euclidean_false	0.04900002479553223	0.5	0.0
data/n_7-euclidean_true	0.1380000114440918	0.5	0.0
data/n_70-euclidean_false	0.9130001068115234	0.5	Inf
data/n_70-euclidean_true	0.626000165939331	0.5	Inf
data/n_75-euclidean_false	0.6340000629425049	0.5	Inf
data/n_75-euclidean_true	0.8930001258850098	0.5	Inf
data/n_8-euclidean_false	0.05500006675720215	0.5	0.0
data/n_8-euclidean_true	0.06399989128112793	0.5	0.0
data/n_80-euclidean_false	0.687000036239624	0.5	Inf
data/n_80-euclidean_true	0.687999963760376	0.5	Inf
data/n_85-euclidean_false	0.6329998970031738	0.5	Inf
data/n_85-euclidean_true	0.6979999542236328	0.5	Inf
data/n_9-euclidean_false	0.2330000400543213	0.5	0.0
data/n_9-euclidean_true	0.07700014114379883	0.5	0.0
data/n_90-euclidean_false	0.7149999141693115	0.5	Inf
data/n_90-euclidean_true	0.6639997959136963	0.5	Inf
data/n_95-euclidean_false	0.695000171661377	0.5	Inf
data/n_95-euclidean_true	0.9119999408721924	0.5	Inf
