n,CW,LK,2opt,3opt,hybrid_rc,hybrid_mc,borne_inf
6,5325,5325,5325,5325,4946,3946,1884.632258064516
7,4785,3952,3856,2897,2220,2110,1836.25
8,6830,6830,5992,5522,4341,3939,2064.461764705882
9,6827,6827,6827,6827,4668,4280,1733.755952380952
10,7306,7306,5862,3879,3816,2702,1295.9452961672473
11,9222,9222,8619,7033,6959,5377,2177.5839285714283
12,8700,6510,6582,6530,4119,3997,2113.030753968254
13,11345,7249,4607,4319,4203,3260,1817.611111111111
14,13438,13438,10737,9913,6872,8243,2601.2574942604138
15,10220,8823,10196,6317,4364,3410,1518.6449021326325
16,1981,1474,1673,1408,1048,1005,514.2349813432836
17,1943,1507,1715,1535,957,785,504.55881834406387
18,2354,2133,2189,2173,1613,1528,365.363969917958
19,2679,2156,2211,2086,1460,1279,496.30463228631834
20,2086,1357,1494,1264,895,668,320.74428571428575
25,3831,2948,3166,2842,2273,2181,644.0631667083751
30,3962,3079,3453,2767,2034,1998,545.2138951849305
35,4917,3389,3913,3040,2056,1997,564.8336596336596
40,6034,5263,5517,4854,3559,3187,629.3059466666666
45,5173,3475,4032,3372,1761,1625,527.9967224868927
50,4976,2750,3449,2660,1217,1051,398.00954460386777
55,7688,5050,5521,4327,2561,2541,763.1536862361044
60,7255,4745,5494,4030,2294,2159,549.198071647988
65,8558,5715,6353,4924,2615,2182,766.3739538315501
70,8100,6376,6816,5857,3583,3038,586.9473982388944
75,10082,6975,7355,5769,2750,2556,784.7308369659235
80,6758,2806,3082,2052,1032,1053,335.6138473865297
85,8966,6503,6422,5659,3306,2621,439.8274270254221
90,11545,8172,8583,7364,3389,3161,728.303723598113
95,12416,8515,9208,7057,3788,3412,731.2681631917154
100,12012,8434,8418,7277,4062,3304,706.2501083768902
